alpha;beta;gamma;r_median
1.2;1.0;0.3;47.5
1.1;1.0;0.3;45.0
1.3;1.0;0.3;49.5
1.4;1.0;0.3;56.0
1.5;1.0;0.3;58.5
1.6;1.0;0.3;66.5
1.7;1.0;0.3;74.0
1.8;1.0;0.3;87.0
1.9;1.0;0.3;100.5
2.0;1.0;0.3;115.0
2.1;1.0;0.3;131.5
1.1;0.9;0.3;53.5
1.3;0.9;0.3;60.0
1.2;0.9;0.3;57.5
1.4;0.9;0.3;67.5
2.2;1.0;0.3;155.0
1.5;0.9;0.3;75.0
2.3;1.0;0.3;188.0
1.6;0.9;0.3;84.0
1.7;0.9;0.3;93.5
2.4;1.0;0.3;227.0
1.1;0.8;0.3;69.0
2.5;1.0;0.3;272.0
1.8;0.9;0.3;109.5
1.2;0.8;0.3;73.0
1.3;0.8;0.3;78.5
1.9;0.9;0.3;128.0
1.4;0.8;0.3;90.0
1.5;0.8;0.3;100.5
2.0;0.9;0.3;154.5
1.6;0.8;0.3;113.0
2.1;0.9;0.3;182.5
2.6;1.0;0.3;349.0
1.7;0.8;0.3;128.5
1.1;0.7;0.3;99.0
1.2;0.7;0.3;110.5
2.2;0.9;0.3;218.0
1.3;0.7;0.3;118.0
2.7;1.0;0.3;438.5
1.8;0.8;0.3;152.5
2.8;1.0;0.3;492.0
1.4;0.7;0.3;140.0
1.5;0.7;0.3;161.0
2.3;0.9;0.3;267.0
1.9;0.8;0.3;191.5
1.6;0.7;0.3;189.0
2.4;0.9;0.3;333.5
2.0;0.8;0.3;239.0
1.1;0.6;0.3;215.0
1.7;0.7;0.3;237.0
2.9;1.0;0.3;620.5
3.0;1.0;0.3;668.5
1.2;0.6;0.3;248.5
2.1;0.8;0.3;306.5
2.5;0.9;0.3;415.0
1.3;0.6;0.3;301.0
1.8;0.7;0.3;311.0
1.2;0.5;0.3;inf
1.1;0.5;0.3;inf
3.1;1.0;0.3;761.0
1.3;0.5;0.3;inf
3.2;1.0;0.3;837.0
2.2;0.8;0.3;396.5
1.8;0.6;0.3;inf
2.6;0.9;0.3;562.0
1.9;0.7;0.3;452.0
1.8;0.5;0.3;inf
1.4;0.6;0.3;inf
1.9;0.6;0.3;inf
1.7;0.6;0.3;inf
2.3;0.8;0.3;543.0
2.7;0.9;0.3;746.5
1.4;0.5;0.3;inf
1.9;0.5;0.3;inf
1.7;0.5;0.3;inf
1.5;0.6;0.3;inf
2.8;0.9;0.3;906.0
1.5;0.5;0.3;inf
2.2;0.7;0.3;inf
2.0;0.7;0.3;874.0
2.3;0.7;0.3;inf
2.7;0.8;0.3;inf
1.6;0.6;0.3;inf
2.2;0.6;0.3;inf
2.0;0.6;0.3;inf
2.4;0.8;0.3;823.5
2.3;0.6;0.3;inf
2.2;0.5;0.3;inf
2.0;0.5;0.3;inf
1.6;0.5;0.3;inf
2.7;0.7;0.3;inf
2.3;0.5;0.3;inf
2.7;0.6;0.3;inf
2.4;0.7;0.3;inf
2.7;0.5;0.3;inf
2.4;0.6;0.3;inf
2.8;0.8;0.3;inf
2.4;0.5;0.3;inf
2.8;0.7;0.3;inf
2.8;0.6;0.3;inf
2.1;0.7;0.3;inf
2.8;0.5;0.3;inf
2.9;0.9;0.3;1227.5
2.1;0.6;0.3;inf
2.6;0.8;0.3;inf
2.1;0.5;0.3;inf
2.9;0.8;0.3;inf
3.0;0.9;0.3;1632.0
2.6;0.7;0.3;inf
2.9;0.7;0.3;inf
2.6;0.6;0.3;inf
2.5;0.8;0.3;2232.0
2.6;0.5;0.3;inf
2.9;0.6;0.3;inf
3.0;0.8;0.3;inf
2.9;0.5;0.3;inf
2.5;0.7;0.3;inf
3.0;0.7;0.3;inf
2.5;0.6;0.3;inf
3.0;0.6;0.3;inf
2.5;0.5;0.3;inf
3.0;0.5;0.3;inf
3.1;0.9;0.3;2264.0
3.1;0.8;0.3;inf
3.1;0.7;0.3;inf
3.1;0.6;0.3;inf
3.1;0.5;0.3;inf
3.2;0.9;0.3;inf
3.2;0.8;0.3;inf
3.2;0.7;0.3;inf
3.2;0.6;0.3;inf
3.2;0.5;0.3;inf